Local time,Open,High,Low,Close,Volume
22.08.2015 23:00:00.000 GMT+0200,16461.809,16461.809,16461.809,16461.809,0
23.08.2015 23:00:00.000 GMT+0200,16068.265,16358.259,15232.495,15834.558,28.7745
24.08.2015 23:00:00.000 GMT+0200,15930.850,16371.499,15648.564,15658.404,9.244400000000002
25.08.2015 23:00:00.000 GMT+0200,15954.964,16304.968,15784.347,16295.999,29.3528
26.08.2015 23:00:00.000 GMT+0200,16279.823,16675.696,16247.697,16674.710,52.6263
27.08.2015 23:00:00.000 GMT+0200,16608.616,16668.976,16484.076,16633.781,77.12830000000001
28.08.2015 23:00:00.000 GMT+0200,16633.781,16633.781,16633.781,16633.781,0
29.08.2015 23:00:00.000 GMT+0200,16633.781,16633.781,16633.781,16633.781,0
30.08.2015 23:00:00.000 GMT+0200,16514.872,16626.025,16437.186,16525.863,66.55780000000001
31.08.2015 23:00:00.000 GMT+0200,16252.191,16320.036,15975.563,16027.832,66.3647
01.09.2015 23:00:00.000 GMT+0200,16231.309,16349.932,16130.264,16347.000,65.5674
02.09.2015 23:00:00.000 GMT+0200,16345.601,16551.820,16315.902,16367.063,69.56039999999999
03.09.2015 23:00:00.000 GMT+0200,16240.819,16309.786,16025.804,16105.855,18.910499999999995
04.09.2015 23:00:00.000 GMT+0200,16105.855,16105.855,16105.855,16105.855,0
05.09.2015 23:00:00.000 GMT+0200,16105.855,16105.855,16105.855,16105.855,0
06.09.2015 23:00:00.000 GMT+0200,16205.808,16284.406,16166.914,16182.081,4.2356
07.09.2015 23:00:00.000 GMT+0200,16235.875,16500.908,16203.794,16487.308,11.874900000000002
08.09.2015 23:00:00.000 GMT+0200,16624.601,16692.313,16216.522,16249.697,44.86330000000001
09.09.2015 23:00:00.000 GMT+0200,16347.775,16459.875,16159.614,16330.412,37.4754
10.09.2015 23:00:00.000 GMT+0200,16352.954,16432.214,16216.543,16420.937,12.368800000000002
11.09.2015 23:00:00.000 GMT+0200,16420.937,16420.937,16420.937,16420.937,0
12.09.2015 23:00:00.000 GMT+0200,16420.937,16420.937,16420.937,16420.937,0
13.09.2015 23:00:00.000 GMT+0200,16429.588,16493.513,16326.099,16366.946,8.189400000000001
14.09.2015 23:00:00.000 GMT+0200,16385.213,16643.513,16307.362,16601.284,9.9792
15.09.2015 23:00:00.000 GMT+0200,16593.271,16756.514,16586.257,16738.546,7.7801
16.09.2015 23:00:00.000 GMT+0200,16752.775,16934.827,16638.209,16676.411,9.1134
17.09.2015 23:00:00.000 GMT+0200,16673.939,16703.853,16337.582,16374.104,12.2276
18.09.2015 23:00:00.000 GMT+0200,16374.104,16374.104,16374.104,16374.104,0
19.09.2015 23:00:00.000 GMT+0200,16374.104,16374.104,16374.104,16374.104,0
20.09.2015 23:00:00.000 GMT+0200,16374.076,16577.929,16356.662,16508.836,26.7875
21.09.2015 23:00:00.000 GMT+0200,16539.981,16560.987,16218.808,16323.460,31.346300000000003
22.09.2015 23:00:00.000 GMT+0200,16184.504,16423.997,16181.400,16279.162,19.3934
23.09.2015 23:00:00.000 GMT+0200,16245.637,16342.958,16013.896,16202.160,28.1087
24.09.2015 23:00:00.000 GMT+0200,16288.900,16473.153,16227.940,16314.725,21.560899999999997
25.09.2015 23:00:00.000 GMT+0200,16314.725,16314.725,16314.725,16314.725,0
26.09.2015 23:00:00.000 GMT+0200,16314.725,16314.725,16314.725,16314.725,0
27.09.2015 23:00:00.000 GMT+0200,16308.895,16389.371,15979.455,16007.991,18.1114
28.09.2015 23:00:00.000 GMT+0200,15949.441,16116.998,15901.901,16044.947,28.1457
29.09.2015 23:00:00.000 GMT+0200,16179.031,16296.982,16125.712,16271.686,20.9184
30.09.2015 23:00:00.000 GMT+0200,16404.845,16447.054,16070.569,16265.735,19.5829
01.10.2015 23:00:00.000 GMT+0200,16288.291,16470.899,16009.453,16468.878,10.3478
02.10.2015 23:00:00.000 GMT+0200,16468.878,16468.878,16468.878,16468.878,0
03.10.2015 23:00:00.000 GMT+0200,16468.878,16468.878,16468.878,16468.878,0
04.10.2015 23:00:00.000 GMT+0200,16476.874,16795.730,16443.213,16769.774,20.8973
05.10.2015 23:00:00.000 GMT+0200,16715.901,16860.972,16678.810,16787.286,18.369199999999996
